Name,Market Cap (GBP$ Billion)
JPMorgan Chase,209.7
Industrial and Commercial Bank of China,185.175
Bank of America,174.51
Wells Fargo,165.22
China Construction Bank,138.071
HSBC Holdings PLC,117.618
Agricultural Bank of China,109.022
Citigroup Inc.,108.979
Bank of China,97.342
China Merchants Bank,65.772
Royal Bank of Canada,65.744
Banco Santander,62.061
Commonwealth Bank,60.199
Mitsubishi UFJ Financial Group,59.896
Toronto-Dominion Bank,58.173
BNP Paribas,55.388
Goldman Sachs,54.019
Sberbank of Russia,53.555
Morgan Stanley,53.453
U.S. Bancorp,50.722
HDFC Bank,47.437
Itaú Unibanco,46.24
Westpac,45.359
Scotiabank,42.348
ING Group,42.333
UBS,40.489
Charles Schwab,39.831
PNC Financial Services,38.753
Lloyds Banking Group,38.221
Sumitomo Mitsui Financial Group,36.115
Bank of Communications,35.981
Australia and New Zealand Banking Group,35.643
Banco Bradesco,34.768
National Australia Bank,34.22
Intesa Sanpaolo,33.274
Banco Bilbao Vizcaya Argentaria,32.548
Japan Post Bank,32.466
The Bank of New York Mellon,32.089
Shanghai Pudong Development Bank,31.539
Industrial Bank (China),30.783
Bank of China (Hong Kong),29.743
Bank of Montreal,28.527
Crédit Agricole,27.969
DBS Bank,27.611
Nordea,27.456
Capital One,27.414
NatWest Group,27.083
Mizuho Financial Group,26.83
Credit Suisse,25.995
Postal Savings Bank of China,25.72
China Minsheng Bank,25.705
UniCredit,25.628
China CITIC Bank,25.453
Hang Seng Bank,24.767
Société Générale,24.702
Barclays,24.594
Canadian Imperial Bank of Commerce,23.358
Bank Central Asia,23.25
Truist Financial,22.488
Oversea-Chinese Banking Corp,22.187
State Bank of India,21.758
State Street,21.333
Deutsche Bank,20.731
KBC Bank,20.595
Danske Bank,20.503
Ping An Bank,20.38
Standard Chartered,20.018
United Overseas Bank,18.843
QNB Group,18.002
Bank Rakyat,17.745
